file,session_started,n_calls,n_success,n_failed,models,lat_ms_p50,lat_ms_mean,lat_ms_max,sum_llm_s,wall_span_s,llm_share
llm-communication-20250811-150545.log,2025-08-11T15:05:45.895000,421,421,0,"{""local|gemma3:4b"": 421}",2815,2995.8,9817,1261.2,1265.0,0.997
llm-communication-20250811-154954.log,2025-08-11T15:49:54.521000,269,269,0,"{""local|gemma3:4b"": 269}",2756,2971.2,11135,799.2,807.9,0.989
llm-communication-20250811-163104.log,2025-08-11T16:31:04.327000,523,462,61,"{""local|llama-3-8b-instruct"": 523}",28822,47397.8,90061,24789.1,24800.5,1.0
llm-communication-20250819-163138.log,2025-08-19T16:31:38.813000,899,899,0,"{""local|gemma3:4b"": 899}",1402,1952.1,9056,1754.9,1759.4,0.997
llm-communication-20250907-143609.log,2025-09-07T14:36:09.412000,1311,1311,0,"{""local|gemma3:4b"": 1311}",1173,1660.7,12733,2177.1,2180.8,0.998
llm-communication-20250907-151732.log,2025-09-07T15:17:32.366000,0,0,0,{},,,,0.0,,
llm-communication-20250907-152102.log,2025-09-07T15:21:02.841000,0,0,0,{},,,,0.0,,
llm-communication-20250907-153542.log,2025-09-07T15:35:42.536000,0,0,0,{},,,,0.0,,
llm-communication-20250907-153832.log,2025-09-07T15:38:32.330000,0,0,0,{},,,,0.0,,
llm-communication-20250907-154154.log,2025-09-07T15:41:54.988000,0,0,0,{},,,,0.0,,
llm-communication-20250907-154348.log,2025-09-07T15:43:48.768000,0,0,0,{},,,,0.0,,
llm-communication-20250907-154658.log,2025-09-07T15:46:58.207000,0,0,0,{},,,,0.0,,
llm-communication-20250907-154829.log,2025-09-07T15:48:29.761000,239,239,0,"{""local|gemma3:4b"": 239}",1174,1381.5,9051,330.2,330.6,0.999
llm-communication-20250907-161044.log,2025-09-07T16:10:44.386000,14,14,0,"{""local|gemma3:4b"": 14}",4137.0,4577.6,9904,64.1,64.2,0.998
llm-communication-20250907-162332.log,2025-09-07T16:23:32.692000,0,0,0,{},,,,0.0,,
llm-communication-20250907-162712.log,2025-09-07T16:27:12.170000,237,237,0,"{""local|gemma3:4b"": 237}",1170,1327.2,7676,314.5,314.8,0.999
llm-communication-20250907-163423.log,2025-09-07T16:34:23.796000,235,235,0,"{""local|gemma3:4b"": 235}",1196,1343.0,7882,315.6,316.0,0.999
llm-communication-20250907-164734.log,2025-09-07T16:47:34.232000,0,0,0,{},,,,0.0,,
llm-communication-20250907-165212.log,2025-09-07T16:52:12.326000,235,235,0,"{""local|gemma3:4b"": 235}",1364,1494.2,10554,351.1,351.4,0.999
llm-communication-20250907-170759.log,2025-09-07T17:07:59.109000,0,0,0,{},,,,0.0,,
llm-communication-20250907-170850.log,2025-09-07T17:08:50.440000,103,103,0,"{""local|gemma3:4b"": 103}",1362,1827.5,8901,188.2,188.7,0.998
llm-communication-20250907-171829.log,2025-09-07T17:18:29.504000,0,0,0,{},,,,0.0,,
llm-communication-20250907-171846.log,2025-09-07T17:18:46.103000,0,0,0,{},,,,0.0,,
llm-communication-20250907-173019.log,2025-09-07T17:30:19.052000,0,0,0,{},,,,0.0,,
llm-communication-20250907-173553.log,2025-09-07T17:35:53.858000,0,0,0,{},,,,0.0,,
llm-communication-20250907-173844.log,2025-09-07T17:38:44.259000,0,0,0,{},,,,0.0,,
llm-communication-20250907-174037.log,2025-09-07T17:40:37.629000,0,0,0,{},,,,0.0,,
llm-communication-20250907-174500.log,2025-09-07T17:45:00.408000,0,0,0,{},,,,0.0,,
llm-communication-20250907-180216.log,2025-09-07T18:02:16.872000,0,0,0,{},,,,0.0,,
llm-communication-20250907-180545.log,2025-09-07T18:05:45.078000,0,0,0,{},,,,0.0,,
llm-communication-20250907-180724.log,2025-09-07T18:07:24.192000,669,669,0,"{""local|gemma3:4b"": 669}",1391,1588.3,11334,1062.6,1063.8,0.999
llm-communication-20250907-183305.log,2025-09-07T18:33:05.774000,349,349,0,"{""local|gemma3:4b"": 349}",1421,2107.7,11429,735.6,736.8,0.998
llm-communication-20250907-185552.log,2025-09-07T18:55:52.752000,322,322,0,"{""local|gemma3:4b"": 322}",1427.0,2260.5,12733,727.9,729.1,0.998
llm-communication-20250907-191238.log,2025-09-07T19:12:38.863000,300,300,0,"{""local|gemma3:4b"": 300}",1421.0,2266.5,9716,680.0,681.2,0.998
llm-communication-20250907-192846.log,2025-09-07T19:28:46.272000,0,0,0,{},,,,0.0,,
llm-communication-20250907-192901.log,2025-09-07T19:29:01.342000,0,0,0,{},,,,0.0,,
llm-communication-20250907-193050.log,2025-09-07T19:30:50.229000,311,311,0,"{""local|gemma3:4b"": 311}",1428,2345.1,10952,729.3,730.7,0.998
llm-communication-20250908-141054.log,2025-09-08T14:10:54.054000,1,1,0,"{""local|llama-3-8b-instruct"": 1}",86452,86452.0,86452,86.5,86.4,1.0
llm-communication-20250908-142151.log,2025-09-08T14:21:51.063000,1,1,0,"{""local|gemma3:4b"": 1}",34222,34222.0,34222,34.2,34.2,1.0
llm-communication-20250908-142539.log,2025-09-08T14:25:39.539000,0,0,0,{},,,,0.0,,
llm-communication-20250908-144144.log,2025-09-08T14:41:44.634000,337,337,0,"{""local|gemma3:4b"": 337}",3023,5082.1,19203,1712.7,1714.3,0.999
llm-communication-20250908-151800.log,2025-09-08T15:18:00.686000,354,354,0,"{""local|gemma3:4b"": 354}",3156.0,5650.7,22092,2000.3,2067.5,0.968
llm-communication-20250908-160356.log,2025-09-08T16:03:56.350000,172,172,0,"{""local|gemma3:4b"": 172}",3093.5,6812.4,19531,1171.7,1236.8,0.947
llm-communication-20250916-160900.log,2025-09-16T16:09:00.931000,8,8,0,"{""local|gemma3:4b"": 8}",4116.0,4026.5,4954,32.2,32.2,1.0
llm-communication-20250916-161520.log,2025-09-16T16:15:20.181000,8,8,0,"{""local|gemma3:4b"": 8}",3762.5,4357.4,8486,34.9,34.9,1.0
llm-communication-20250916-161933.log,2025-09-16T16:19:33.110000,36,36,0,"{""local|gemma3:4b"": 36}",11111.5,10236.6,19650,368.5,424.6,0.868
llm-communication-20250916-171707.log,2025-09-16T17:17:07.045000,34,34,0,"{""local|gemma3:4b"": 34}",12409.5,11148.8,19537,379.1,435.8,0.87
llm-communication-20250916-173436.log,2025-09-16T17:34:36.982000,34,34,0,"{""local|gemma3:4b"": 34}",12859.5,10824.0,17242,368.0,424.3,0.867
llm-communication-20250916-175627.log,2025-09-16T17:56:27.820000,38,38,0,"{""local|gemma3:4b"": 38}",11865.0,10096.3,18056,383.7,440.1,0.872
llm-communication-20250916-180617.log,2025-09-16T18:06:17.599000,37,37,0,"{""local|gemma3:4b"": 37}",11916,10117.0,17640,374.3,430.9,0.869
llm-communication-20250916-182114.log,2025-09-16T18:21:14.842000,35,35,0,"{""local|gemma3:4b"": 35}",9302,9531.5,19029,333.6,390.0,0.855
llm-communication-20251028-160046.log,2025-10-28T16:00:46.347000,0,0,0,{},,,,0.0,,
llm-communication-20251028-160441.log,2025-10-28T16:04:41.341000,17,17,0,"{""local|gemma3:4b"": 17}",1779,2170.1,7180,36.9,36.9,1.0
llm-communication-20251103-143545.log,2025-11-03T14:35:45.074000,26,26,0,"{""local|gemma3:4b"": 26}",2313.5,2657.9,8744,69.1,72.4,0.954
llm-communication-20251103-144633.log,2025-11-03T14:46:33.422000,135,135,0,"{""local|gemma3:4b"": 135}",1102,1349.1,7016,182.1,182.6,0.997
llm-communication-20251103-145713.log,2025-11-03T14:57:13.591000,20,20,0,"{""local|gemma3:4b"": 20}",1873.5,2337.5,6547,46.8,47.1,0.993
llm-communication-20251103-150436.log,2025-11-03T15:04:36.635000,20,20,0,"{""local|gemma3:4b"": 20}",1903.0,2482.7,7722,49.7,49.7,0.999
llm-communication-20251103-151006.log,2025-11-03T15:10:06.645000,49,49,0,"{""local|gemma3:4b"": 49}",3411,3859.6,10397,189.1,223.7,0.845
llm-communication-20251103-153832.log,2025-11-03T15:38:32.849000,42,42,0,"{""local|gemma3:4b"": 42}",2640.5,3338.2,6981,140.2,141.8,0.989
llm-communication-20251103-154525.log,2025-11-03T15:45:25.914000,37,37,0,"{""local|gemma3:4b"": 37}",2607,3175.2,7005,117.5,117.8,0.998
llm-communication-20251103-155151.log,2025-11-03T15:51:51.354000,39,39,0,"{""local|gemma3:4b"": 39}",2634,3337.4,7066,130.2,130.4,0.998
llm-communication-20251103-155606.log,2025-11-03T15:56:06.447000,43,43,0,"{""local|gemma3:4b"": 43}",2871,3348.6,7521,144.0,199.7,0.721
llm-communication-20251103-161159.log,2025-11-03T16:11:59.949000,202,202,0,"{""local|gemma3:4b"": 202}",1155.5,1592.6,7341,321.7,336.4,0.956
